Name of Organization,Program,Address,Borough,Postcode,Served By,Event Date,Citywide Outreach,Age,Head Start PreK,Hospital Health Care,Seniors,Community Site,Hands On,Special Needs,Latitude,Longitude,Community Board,Council District,BIN,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020),the_geom,Site_Serve,Event_Date,Activity,LONG,LAT,X,Y,opportunity_id,content_id,vol_requests,event_time,title,hits,summary,is_priority,category_id,category_desc,amsl,amsl_unit,org_title,org_content_id,addresses_count,locality,region,primary_loc,display_url,recurrence_type,hours,created_date,last_modified_date,start_date_date,end_date_date,status,Community Council ,Census Tract,NTA
Life Of Hope,Child Passenger Safety,1377 Brooklyn Avenue,BK,11203,Citywide Outreach,12/03/2022,Safety Shower,Adults,No,No,No,Yes,Yes,,40.639636,-73.942565,317.0,45.0,3253048.0,3049700035.0,832.0,BK1702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DVAP,Outreach,55 Water Street,MN,10038,Citywide Outreach,12/05/2022,DVAP,Adults,No,No,No,No,No,,40.703608,-74.009691,101.0,1.0,1083346.0,1000327501.0,9.0,MN0101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preparatory Academy For Writers:  A College Board School,Theater,143 10 Springfield Blvd,QN,11413,Citywide Outreach,12/05/2022,FLT Teen Performance,Grade 8,No,No,No,No,No,,40.668235,-73.756839,412.0,31.0,4280845.0,4130570056.0,330.0,QN1204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preparatory Academy For Writers:  A College Board School,Theater,143 10 Springfield Blvd,QN,11413,Citywide Outreach,12/05/2022,FLT Teen Performance,Grade 9,No,No,No,No,No,,40.668235,-73.756839,412.0,31.0,4280845.0,4130570056.0,330.0,QN1204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 121,Outreach,126-10 109Th Ave,QN,11420,Citywide Outreach,12/05/2022,My Safety Toolbox,Grade 3,No,No,No,No,No,,40.68405,-73.815834,410.0,28.0,4249769.0,4116070001.0,170.0,QN1001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 36 St Albans School,Outreach,187-01 Foch Blvd,QN,11412,Citywide Outreach,12/05/2022,"Word on the Street
Word on the Street","Grade 4
Grade 5",No,No,No,Yes,No,,40.690828,-73.763907,412.0,27.0,4268900.0,4124390032.0,366.0,QN1205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queens Preparatory Academy,Theater,143 10 Springfield Blvd,QN,11413,Citywide Outreach,12/05/2022,FLT Teen Performance,Grade 8,No,No,No,No,No,,40.668235,-73.756839,412.0,31.0,4280845.0,4130570056.0,330.0,QN1204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queens Preparatory Academy,Theater,143 10 Springfield Blvd,QN,11413,Citywide Outreach,12/05/2022,FLT Teen Performance,Grade 8,No,No,No,No,No,,40.668235,-73.756839,412.0,31.0,4280845.0,4130570056.0,330.0,QN1204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunnyside Community Services Afterschool at PS 150Q,Outreach,"40-01 43rd Ave, Sunnyside, NY 11104",QN,11104,Citywide Outreach,12/05/2022,Other after school,Grade 5,No,No,No,No,No,,40.745537,-73.923776,402.0,26.0,4002387.0,4001850001.0,18101.0,QN0202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Baby Shower Event @ Wyckoff Hospital,Child Passenger Safety,374 Stockholm St,BK,11237,Citywide Outreach,12/06/2022,Safety Shower,Adults,No,No,No,No,Yes,,40.704636,-73.917699,304.0,37.0,3074262.0,3032600001.0,443.0,BK0401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCNS Seaside Senior Center,Outreach,320 Beach 94 Street,QN,11693,Citywide Outreach,12/06/2022,Seniors - Streetwise,Older Adults,No,No,Yes,No,No,,40.5877,-73.817309,414.0,32.0,4303571.0,4161260004.0,94202.0,QN1402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Baby Shower Event @ Wyckoff Hospital,Child Passenger Safety,(374 Stockholm St,BX,11237,Citywide Outreach,12/06/2022,Safety Shower,Adults,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOH Family Wellness Suite,Outreach,1826 Arthur Avenue,BX,10457,Citywide Outreach,12/06/2022,Parent Workshop,Adults,No,No,No,No,No,,40.844083,-73.894482,206.0,15.0,2009891.0,2029450018.0,36901.0,BX0602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DVAP-1,Outreach,59 Maiden Lane,MN,10038,Citywide Outreach,12/06/2022,DVAP,Adults,No,No,No,No,No,,40.708266,-74.008231,101.0,1.0,1079043.0,1000670001.0,1502.0,MN0101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excelsior Preparatorty High School,Theater,143 10 Springfield Blvd,QN,11413,,12/06/2022,FLT Teen Performance,Grade 9,No,No,No,No,No,,40.668235,-73.756839,412.0,31.0,4280845.0,4130570056.0,330.0,QN1204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excelsior Preparatorty High School,Theater,143 10 Springfield Blvd,QN,11413,Citywide Outreach,12/06/2022,FLT Teen Performance,Grade 10,No,No,No,No,No,,40.668235,-73.756839,412.0,31.0,4280845.0,4130570056.0,330.0,QN1204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Washington Carver High School For The Sciences,Theater,143 10 Springfield Blvd,QN,11413,Citywide Outreach,12/06/2022,FLT Teen Performance,Grade 12,No,No,No,No,No,,40.668235,-73.756839,412.0,31.0,4280845.0,4130570056.0,330.0,QN1204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Washington Carver High School For The Sciences,Theater,143 10 Springfield Blvd,QN,11413,Citywide Outreach,12/06/2022,FLT Teen Performance,Grade 10,No,No,No,No,No,,40.668235,-73.756839,412.0,31.0,4280845.0,4130570056.0,330.0,QN1204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYCDOH Family Wellness Suite-MAN,Child Passenger Safety,158 East 115th Street,MN,10029,Citywide Outreach,12/06/2022,Training,Adults,No,Yes,No,No,No,,40.797755,-73.941699,111.0,8.0,1052229.0,1016400147.0,182.0,MN1102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 194 Raoul Wallenberg,Outreach,3117 Ave W,BK,11229,Citywide Outreach,12/06/2022,"Word on the Street
Safety Smarts","Grade 5
Grade 1",No,No,No,No,No,,40.596757,-73.933499,315.0,46.0,3201629.0,3073930001.0,570.0,BK1503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 36 St Albans School,Outreach,187-01 Foch Blvd,QN,11412,Citywide Outreach,12/06/2022,"My Safety Toolbox
My Safety Toolbox","Grade 2
Grade 3",No,No,No,Yes,No,,40.690828,-73.763907,412.0,27.0,4268900.0,4124390032.0,366.0,QN1205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brownsville Neighborhood Health Action Center,Child Passenger Safety,259 Bristol Street,BK,11212,Citywide Outreach,12/07/2022,Safety Shower,,No,No,No,Yes,Yes,,40.664827,-73.911415,316.0,41.0,3081765.0,3035590011.0,924.0,BK1602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DVAP,Outreach,55 Water Street,MN,10038,Citywide Outreach,12/07/2022,DVAP,Adults,No,No,No,No,No,,40.703608,-74.009691,101.0,1.0,1083346.0,1000327501.0,9.0,MN0101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DWDC DOMINICAN WOMEN'S DEVELOPMENT CENTER,Outreach,"715W 179 ST LOWER LEVEL. NEW YORK, NY",MN,10033,,12/07/2022,,,No,No,No,Yes,Yes,,40.849038,-73.937555,112.0,10.0,1064262.0,1021760030.0,265.0,MN1202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Math/Science Research And Technology Magnet Hs,Theater,207 01 116Th Ave,QN,11411,Citywide Outreach,12/07/2022,FLT Teen Performance,Grade 10,No,No,No,No,No,,40.697819,-73.745728,413.0,27.0,4238003.0,4110490001.0,53401.0,QN1304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Math/Science Research And Technology Magnet Hs,Theater,207 01 116Th Ave,QN,11411,Citywide Outreach,12/07/2022,FLT Teen Performance,Grade 10,No,No,No,No,No,,40.697819,-73.745728,413.0,27.0,4238003.0,4110490001.0,53401.0,QN1304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYCDOH/Family Wellness/Bronx,Child Passenger Safety,1826 Arthur Avenue,BX,10457,Citywide Outreach,12/07/2022,Training,Adults,No,Yes,No,No,No,,40.844083,-73.894482,206.0,15.0,2009891.0,2029450018.0,36901.0,BX0602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 121,Outreach,126-10 109Th Ave,QN,11420,Citywide Outreach,12/07/2022,"My Safety Toolbox
Word on the Street","Grade 3
Grade 4",No,No,No,No,No,,40.68405,-73.815834,410.0,28.0,4249769.0,4116070001.0,170.0,QN1001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 194 Raoul Wallenberg,Outreach,3117 Ave W,BK,11229,Citywide Outreach,12/07/2022,Word on the Street,Grade 5,No,No,No,No,No,,40.596757,-73.933499,315.0,46.0,3201629.0,3073930001.0,570.0,BK1503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverway Older Adult Center,Outreach,230 Riverdale Avenue,BK,11212,Citywide Outreach,12/07/2022,Seniors - Streetwise,Older Adults,No,No,Yes,No,No,,40.661083,-73.908024,316.0,41.0,3413856.0,3036030025.0,916.0,BK1602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virtual Car Seat - Jasmine Taddeo,Child Passenger Safety,79-15 35th Ave.,QN,11372,Citywide Outreach,12/07/2022,Car Seat Check,Adults,No,No,No,No,No,,40.751526,-73.88724,403.0,25.0,4029148.0,4012667501.0,285.0,QN0301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vIRTUAL cAR SEAT CHECK - Adam Pennington,Child Passenger Safety,61 Martense Street,BK,11226,Citywide Outreach,12/07/2022,Car Seat Check,Adults,No,No,No,No,No,,40.651326,-73.956909,314.0,40.0,3116719.0,3050867501.0,79602.0,BK1401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virtual Car Seat Check - Elizabeth Hirsch Cherner,Child Passenger Safety,507 west 28th st.,MN,10001,Citywide Outreach,12/07/2022,Car Seat Check,Adults,No,No,No,No,Yes,,40.751219,-74.002786,104.0,3.0,1090201.0,1007000027.0,9902.0,MN0401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ampark Neighborhood,Outreach,3961B Hillman Ave,BX,10463,Citywide Outreach,12/08/2022,"Word on the Street
Word on the Street","Grade 5
Grade 4",No,No,No,No,No,,40.882898,-73.891256,208.0,11.0,,,281.0,BX0801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DWDC ,Children Learning Center",Outreach,2340-460 Amsterdam Ave.,MN,10033,,12/08/2022,,Adults,No,No,No,Yes,Yes,,40.844971,-73.9332,112.0,10.0,1063193.0,1021320047.0,261.0,MN1201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joy Senior Social Day Center,Outreach,82-20 Britton Avenue,QN,11373,Citywide Outreach,12/08/2022,Seniors - Streetwise,Older Adults,No,No,Yes,No,No,,40.74298,-73.882473,404.0,25.0,4037480.0,4015177502.0,27101.0,QN0401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYU Langone Parkm Slope,Child Passenger Safety,220 13th Street,BK,11215,Citywide Outreach,12/08/2022,Safety Shower,Adults,No,Yes,No,No,No,,40.667602,-73.990051,306.0,38.0,3339179.0,3010340068.0,14101.0,BK0602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 165 Edith K Bergtraum,Outreach,70-35 150Th St,QN,11367,Citywide Outreach,12/08/2022,"Word on the Street
Safety Smarts","Grade 5
Children",No,No,No,No,No,,40.729741,-73.818446,408.0,24.0,4144881.0,4066970012.0,77906.0,QN0801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 80 Thurgood Marshall Magnet Of Multimedia,Outreach,171-05 137Th Ave,QN,11434,Citywide Outreach,12/08/2022,"My Safety Toolbox
Safety Smarts","Grade 3
Grade 2",No,No,No,No,No,,40.67282,-73.769252,412.0,28.0,4270056.0,4124950166.0,33405.0,QN1204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science And Medicine Middle School (The),Theater,965 E 107Th St,BK,11236,Citywide Outreach,12/08/2022,FLT Teen Performance,Grade 7,No,No,No,No,No,,40.647323,-73.892022,318.0,46.0,3396940.0,3082150012.0,984.0,BK1803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion Industries High School,Theater,225 WEst 24th Street,MN,10011,Citywide Outreach,12/09/2022,FLT Teen Performance,Grade 10,No,No,No,No,No,,40.745156,-73.996074,104.0,3.0,1014174.0,1007740019.0,91.0,MN0401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Landmark High School,Theater,351 W 18Th St,MN,10011,Citywide Outreach,12/09/2022,FLT Teen Performance,Grade 10,No,No,No,No,No,,40.742867,-74.002136,104.0,3.0,1013096.0,1007420007.0,89.0,MN0401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leroy Comrie,Special Event,177-01 Baisley Blvd,QN,11434,Citywide Outreach,12/09/2022,Community Fair,"Children
Adults",No,No,No,Yes,No,,40.686284,-73.768455,412.0,27.0,4268835.0,4124060180.0,426.0,QN1205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mosaic Pre-K @ 111th Street,Outreach,46-01 111th Street,QN,11368,Citywide Outreach,12/09/2022,Parent Workshop,College,Yes,No,No,No,No,,40.748119,-73.85401,481.0,21.0,4615694.0,4020180001.0,38302.0,QN8191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newtown Senior Center,Outreach,83-20 Queens Boulevard,QN,11373,Citywide Outreach,12/09/2022,Seniors - Streetwise,Older Adults,No,No,Yes,No,No,,40.737205,-73.879686,404.0,30.0,4057291.0,4024760017.0,475.0,QN0401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 48 William Wordsworth,Outreach,108-29 155Th St,QN,11433,Citywide Outreach,12/09/2022,"My Safety Toolbox
Word on the Street","Grade 3
Grade 4",No,No,No,Yes,No,,40.693518,-73.796727,412.0,28.0,4590626.0,4101440047.0,25401.0,QN1202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 63 Author'S Academy,Outreach,1260 Franklin Ave,BX,10456,Citywide Outreach,12/09/2022,Word on the Street,Grade 4,No,No,No,No,No,,40.830965,-73.902738,203.0,17.0,2004302.0,2026150014.0,149.0,BX0301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 80 Thurgood Marshall Magnet Of Multimedia,Outreach,171-05 137Th Ave,QN,11434,Citywide Outreach,12/09/2022,"Safety Smarts
Safety Smarts","Grade K
Grade 1",No,No,No,No,No,,40.67282,-73.769252,412.0,28.0,4270056.0,4124950166.0,33405.0,QN1204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunnyside Community Services Afterschool at PS 150Q,Outreach,"40-01 43rd Ave, Sunnyside, NY 11104",QN,11104,Citywide Outreach,12/09/2022,Other after school,Grade 4,No,No,No,No,No,,40.745537,-73.923776,402.0,26.0,4002387.0,4001850001.0,18101.0,QN0202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virtual Car Seat Check - Ben Spaner,Child Passenger Safety,67-07 Yellowstone Blvd,QN,11375,Citywide Outreach,12/09/2022,Car Seat Check,Adults,No,No,No,No,No,,40.728216,-73.849197,406.0,29.0,4432104.0,4021550001.0,741.0,QN0602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DVAP,Outreach,55 Water Street,MN,10038,Citywide Outreach,12/10/2022,DVAP,Adults,No,No,No,No,No,,40.703608,-74.009691,101.0,1.0,1083346.0,1000327501.0,9.0,MN0101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DVAP,Outreach,55 Water Street,MN,10038,Citywide Outreach,12/12/2022,DVAP,,No,No,No,No,No,,40.703608,-74.009691,101.0,1.0,1083346.0,1000327501.0,9.0,MN0101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marien-Heim Senior Center,Outreach,870 Ocean Parkway,BK,11230,Citywide Outreach,12/12/2022,Seniors - Streetwise,Older Adults,No,No,Yes,No,No,,40.627218,-73.971057,312.0,40.0,3170453.0,3065080006.0,46201.0,BK1402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYC Care social day care,Outreach,187-30 Linden Blvd,QN,11434,Citywide Outreach,12/12/2022,Seniors - Streetwise,Adults,No,No,No,No,No,,40.69193,-73.764502,412.0,27.0,4268899.0,4124390022.0,366.0,QN1205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blanche Day care,Outreach,4402 Beach Channel Dr,QN,11691,Citywide Outreach,12/13/2022,Parent Workshop,Adults,No,No,No,No,No,,40.595668,-73.77586,414.0,31.0,4463476.0,4159670001.0,97206.0,QN1402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx Compass High School,Theater,1980 Lafayette Ave,BX,10473,Citywide Outreach,12/13/2022,FLT Teen Performance,Grade 10,No,No,No,No,No,,40.82229,-73.856167,209.0,18.0,2022205.0,2036040039.0,16.0,BX0902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOH Family Wellness Suite-2,Outreach,1826 Arthur Avenue,BX,10457,Citywide Outreach,12/13/2022,Parent Workshop,Adults,No,No,No,No,No,,40.844083,-73.894482,206.0,15.0,2009891.0,2029450018.0,36901.0,BX0602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 48 William Wordsworth,Outreach,108-29 155Th St,QN,11433,Citywide Outreach,12/13/2022,"My Safety Toolbox
Cross this way
Cross this way","Grade 3
Grade 4
Grade 5",No,No,No,Yes,No,,40.693518,-73.796727,412.0,28.0,4590626.0,4101440047.0,25401.0,QN1202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 63 Author'S Academy,Outreach,1260 Franklin Ave,BX,10456,Citywide Outreach,12/13/2022,"Word on the Street
Other after school","Grade 5
Children",No,No,No,No,No,,40.830965,-73.902738,203.0,17.0,2004302.0,2026150014.0,149.0,BX0301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DVAP,Outreach,55 Water Street,MN,10038,Citywide Outreach,12/14/2022,DVAP,Adults,No,No,No,No,No,,40.703608,-74.009691,101.0,1.0,1083346.0,1000327501.0,9.0,MN0101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakeview Tenants Association,Outreach,1250 5th Avenue,MN,10029,Citywide Outreach,12/14/2022,Seniors - Streetwise,Older Adults,No,No,Yes,No,No,,40.794384,-73.951027,111.0,9.0,1051514.0,1016120001.0,17401.0,MN1101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mott Street Senior Center,Outreach,180 Mott Street,MN,10012,Citywide Outreach,12/14/2022,Seniors - Streetwise,Older Adults,No,No,Yes,No,No,,40.720558,-73.995873,102.0,1.0,1007156.0,1004790001.0,41.0,MN0201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 115 Alexander Humboldt,Outreach,586 W 177Th St,MN,10033,Citywide Outreach,12/14/2022,"Safety Smarts
Safety Smarts","Grade K
Grade 1",No,No,No,No,No,,40.846542,-73.935205,112.0,10.0,1063228.0,1021330040.0,261.0,MN1201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 31 Bayside,Outreach,211-45 46Th Rd,QN,11361,Citywide Outreach,12/14/2022,Parent Workshop,Adults,No,No,No,No,No,,40.757064,-73.770122,411.0,19.0,4156949.0,4073160018.0,1447.0,QN1102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PS 54 The Hillside School,Outreach,86-02 127th St,QN,11418,Citywide Outreach,12/14/2022,"My Safety Toolbox
My Safety Toolbox","Grade 1
Grade 2",No,No,No,Yes,No,,40.70292,-73.824221,409.0,29.0,4193916.0,4092800001.0,14201.0,QN0902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supporting Our Mothers Initiative,Child Passenger Safety,177-19 120th Avenue,QN,11434,Citywide Outreach,12/14/2022,Training,Adults,No,No,No,Yes,No,,40.684972,-73.767101,412.0,27.0,4269360.0,4124690137.0,368.0,QN1205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tilden Senior Center,Outreach,630 Mother Gaston Bv,BK,11212,Citywide Outreach,12/14/2022,Seniors - Streetwise,Adults,No,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virtual Car seat check - Jeneil Telesford,Child Passenger Safety,186 Fillmore St,SI,10301,Citywide Outreach,12/14/2022,Car Seat Check,Adults,No,No,No,No,No,,40.643566,-74.094647,501.0,49.0,5149342.0,5000660138.0,81.0,SI0101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yessina Rodriguez,Child Passenger Safety,107-10 91st Street,QN,11418,Citywide Outreach,12/14/2022,Car Seat Check,Adults,No,No,No,No,No,,40.678112,-73.846888,410.0,32.0,,,54.0,QN1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PS 54 The Hillside School,Outreach,86-02 127th St,QN,11418,Citywide Outreach,12/15/2022,"Cross this way
Cross this way","Grade 4
Grade 5",No,No,No,Yes,No,,40.70292,-73.824221,409.0,29.0,4193916.0,4092800001.0,14201.0,QN0902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 63 Author'S Academy,Outreach,1260 Franklin Ave,BX,10456,Citywide Outreach,12/15/2022,"My Safety Toolbox
Other after school","Grade 3
Children",No,No,No,Yes,No,,40.830965,-73.902738,203.0,17.0,2004302.0,2026150014.0,149.0,BX0301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNAP senior center,Outreach,133-33 Brookville Blvd,QN,11422,Citywide Outreach,12/15/2022,Seniors - Streetwise,Adults,No,No,Yes,No,No,,40.674396,-73.732749,413.0,31.0,4279577.0,4129800001.0,61602.0,QN1307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William E. Grady HS,Theater,25 Brighton 4th Road,BK,11235,Citywide Outreach,12/15/2022,FLT Teen Performance,Grade 10,No,No,No,No,No,,40.582585,-73.963477,313.0,48.0,3196378.0,3072610201.0,366.0,BK1303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caribbean Women's Health Association,Child Passenger Safety,3512 Church Ave,BK,11203,Citywide Outreach,12/16/2022,Safety Shower,Adults,No,No,No,No,Yes,,40.651069,-73.944541,317.0,40.0,3109468.0,3048890005.0,856.0,BK1701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pelham Academy of Academics & Community, Engagement",Theater,2441 Wallace Avenue,BK,10467,Citywide Outreach,12/16/2022,FLT Teen Performance,Grade 8,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fordham University,DWI,2691 Southern Blvd,BX,10458,Citywide Outreach,12/17/2022,"Stadium Events
Stadium Events","Adults
College",No,No,No,No,Yes,,40.863642,-73.883362,206.0,15.0,,,397.0,BX0603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office Council Member Carmen de la Rosa,Outreach,"618 W 177 ST New York,",MN,10033,,12/17/2022,,,No,No,No,Yes,Yes,,40.846979,-73.936242,112.0,10.0,1063542.0,1021440017.0,263.0,MN1201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DVAP,Outreach,55 Water Street,MN,10038,Citywide Outreach,12/19/2022,DVAP,Adults,No,No,No,No,No,,40.703608,-74.009691,101.0,1.0,1083346.0,1000327501.0,9.0,MN0101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DVAP-1,Outreach,59 Maiden Lane,MN,10038,Citywide Outreach,12/19/2022,DVAP,Adults,No,No,No,No,No,,40.708266,-74.008231,101.0,1.0,1079043.0,1000670001.0,1502.0,MN0101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is 109 Jean Nuzzi Intermediate,Theater,213-10 92nd Avenue,QN,11482,Citywide Outreach,12/19/2022,FLT Teen Performance,Grade 8,No,No,No,No,No,,40.720713,-73.747001,413.0,23.0,4226839.0,4106260001.0,542.0,QN1303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin Franklin Hs-Finance-Info,Theater,207-01 116th Ave,QN,11411,Citywide Outreach,12/20/2022,FLT Teen Performance,Grade 10,No,No,No,No,No,,40.697819,-73.745728,413.0,27.0,4238003.0,4110490001.0,53401.0,QN1304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emerson School (The),Theater,108-35 167Th St,QN,11433,Citywide Outreach,12/20/2022,FLT Teen Performance,Grade 8,No,No,No,No,No,,40.69719,-73.787192,412.0,27.0,4216655.0,4101780001.0,258.0,QN1202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inwood Neighborhood Senior Center,Outreach,84 Vermilyea Avenue,MN,11304,Citywide Outreach,12/20/2022,Seniors - Streetwise,Older Adults,No,No,Yes,No,No,,40.865838,-73.923128,112.0,10.0,1064905.0,1022340029.0,291.0,MN1203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYCDOH/Family Wellness/Bronx,Child Passenger Safety,1826 Arthur Avenue,BX,10457,Citywide Outreach,12/20/2022,Training,Adults,No,Yes,No,No,No,,40.844083,-73.894482,206.0,15.0,2009891.0,2029450018.0,36901.0,BX0602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 37 Cynthia Jenkins School,Outreach,179-37 137th Avenue,QN,11434,Citywide Outreach,12/20/2022,"Safer Streets
My Safety Toolbox","Grade 2
Grade 4",No,No,No,No,No,,40.67588,-73.758505,412.0,27.0,4279864.0,4129930118.0,352.0,QN1205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bedford Styveston Family Health Center,Material Distribution,1456 Fulton Street,BK,11216,Citywide Outreach,12/21/2022,Other Not for Profit,Children,No,No,No,No,No,,40.679998,-73.942458,303.0,36.0,3399697.0,3018630160.0,271.0,BK0302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
